-5.810,1.991,3.970,1.000,0.400,0.300,0.010,7.000
-5.941,1.843,3.738,1.000,0.400,0.300,0.010,7.000
-6.057,1.678,3.470,1.000,0.400,0.300,0.010,7.000
-6.151,1.503,3.154,1.000,0.400,0.300,0.010,7.000
-6.219,1.318,2.795,1.000,0.400,0.300,0.010,7.000
-6.257,1.122,2.329,1.000,0.400,0.300,0.010,7.000
-6.248,0.925,2.000,1.000,0.400,0.300,0.010,7.000
-6.240,0.736,2.000,1.000,0.400,0.300,0.010,7.000
-6.177,0.548,2.000,1.000,0.800,0.250,0.010,0.000
-6.080,0.383,2.216,1.000,0.800,0.250,0.010,0.000
-5.958,0.221,2.630,1.000,0.800,0.250,0.010,0.000
-5.823,0.072,2.981,1.000,0.800,0.250,0.010,0.000
-5.676,-0.065,3.289,1.000,0.800,0.250,0.010,0.000
-5.520,-0.187,3.565,1.000,0.800,0.250,0.010,0.000
-5.351,-0.295,3.816,1.000,0.800,0.250,0.010,0.000
-5.175,-0.384,4.013,1.000,0.800,0.250,0.010,0.000
-4.989,-0.454,4.129,1.000,0.800,0.250,0.010,0.000
-4.798,-0.505,4.238,1.000,0.800,0.250,0.010,0.000
-4.602,-0.539,4.376,0.700,1.000,0.100,0.010,1.000
-4.404,-0.558,4.547,0.700,1.000,0.100,0.010,1.000
-4.206,-0.565,4.729,0.700,1.000,0.100,0.010,1.000
-4.007,-0.564,4.902,0.700,1.000,0.100,0.010,1.000
-3.808,-0.558,5.065,0.700,1.000,0.100,0.010,1.000
-3.609,-0.550,5.221,0.700,1.000,0.100,0.010,1.000
-3.411,-0.541,5.369,0.700,1.000,0.100,0.010,1.000
-3.212,-0.533,5.510,0.700,1.000,0.100,0.010,1.000
-3.013,-0.526,5.644,0.700,1.000,0.100,0.010,1.000
-2.815,-0.519,5.773,0.700,1.000,0.100,0.010,1.000
-2.616,-0.514,5.897,0.700,1.000,0.100,0.010,1.000
-2.417,-0.509,6.016,0.700,1.000,0.100,0.010,1.000
-2.219,-0.505,6.130,0.700,1.000,0.100,0.010,1.000
-2.020,-0.503,6.240,0.700,1.000,0.100,0.010,1.000
-1.821,-0.501,6.346,0.700,1.000,0.100,0.010,1.000
-1.622,-0.500,6.448,0.700,1.000,0.100,0.010,1.000
-1.424,-0.500,6.547,0.700,1.000,0.100,0.010,1.000
-1.225,-0.500,6.642,0.700,1.000,0.100,0.010,1.000
-1.026,-0.500,6.734,0.700,1.000,0.100,0.010,1.000
-0.827,-0.500,6.823,0.700,1.000,0.100,0.010,1.000
-0.628,-0.498,6.909,0.700,1.000,0.100,0.010,1.000
-0.430,-0.493,6.992,0.700,1.000,0.100,0.010,1.000
-0.231,-0.486,7.073,0.700,1.000,0.100,0.010,1.000
-0.033,-0.476,7.151,0.700,1.000,0.100,0.010,1.000
0.166,-0.461,7.227,0.700,1.000,0.100,0.010,1.000
0.363,-0.441,7.301,0.700,1.000,0.100,0.010,1.000
0.561,-0.416,7.351,0.600,0.800,0.300,0.010,2.000
0.757,-0.385,7.304,0.600,0.800,0.300,0.010,2.000
0.952,-0.347,7.169,0.600,0.800,0.300,0.010,2.000
1.146,-0.301,7.047,0.600,0.800,0.300,0.010,2.000
1.337,-0.248,6.938,0.600,0.800,0.300,0.010,2.000
1.526,-0.187,6.841,0.600,0.800,0.300,0.010,2.000
1.712,-0.117,6.758,0.600,0.800,0.300,0.010,2.000
1.894,-0.037,6.690,0.600,0.800,0.300,0.010,2.000
2.072,0.052,6.625,0.600,0.800,0.300,0.010,2.000
2.245,0.150,6.558,0.600,0.800,0.300,0.010,2.000
2.412,0.258,6.496,0.600,0.800,0.300,0.010,2.000
2.573,0.375,6.439,0.600,0.800,0.300,0.010,2.000
2.727,0.500,6.390,0.600,0.800,0.300,0.010,2.000
2.875,0.634,6.345,0.600,0.800,0.300,0.010,2.000
3.015,0.777,6.308,0.600,0.800,0.300,0.010,2.000
3.145,0.925,6.278,0.600,0.800,0.300,0.010,2.000
3.269,1.082,6.256,0.600,0.800,0.300,0.010,2.000
3.384,1.245,6.250,0.600,0.800,0.300,0.010,2.000
3.491,1.412,6.272,0.600,0.800,0.300,0.010,2.000
3.591,1.582,6.341,0.600,0.800,0.300,0.010,2.000
3.686,1.755,6.131,0.600,0.800,0.300,0.010,2.000
3.781,1.930,5.730,0.600,0.800,0.300,0.010,2.000
3.873,2.104,5.425,0.700,0.600,0.300,0.010,3.000
3.958,2.280,5.208,0.700,0.600,0.300,0.010,3.000
4.035,2.465,5.019,0.700,0.600,0.300,0.010,3.000
4.100,2.654,4.856,0.700,0.600,0.300,0.010,3.000
4.150,2.847,4.696,0.700,0.600,0.300,0.010,3.000
4.183,3.044,4.545,0.700,0.600,0.300,0.010,3.000
4.198,3.243,4.399,0.700,0.600,0.300,0.010,3.000
4.194,3.442,4.273,0.700,0.600,0.300,0.010,3.000
4.167,3.639,4.164,0.700,0.600,0.300,0.010,3.000
4.117,3.831,4.094,0.700,0.600,0.300,0.010,3.000
4.041,4.015,3.900,0.700,0.600,0.300,0.010,3.000
3.941,4.186,3.750,0.700,0.600,0.300,0.010,3.000
3.816,4.342,3.600,0.700,0.600,0.300,0.010,3.000
3.671,4.477,3.400,0.700,0.600,0.300,0.010,3.000
3.507,4.591,3.100,0.700,0.600,0.300,0.010,3.000
3.329,4.682,2.800,0.700,0.600,0.300,0.010,3.000
3.141,4.747,2.400,0.700,0.600,0.300,0.010,3.000
2.940,4.787,2.000,0.700,0.600,0.300,0.010,3.000
2.739,4.793,1.500,0.700,0.600,0.300,0.010,3.000
2.558,4.753,1.032,0.700,0.600,0.300,0.010,3.000
